OpenIPMI-libs|0:2.0.36-1.el9.x86_64
acl|0:2.3.1-4.el9.x86_64
alternatives|0:1.24-2.el9.x86_64
ansible-core|1:2.14.18-1.el9.x86_64
audit-libs|0:3.1.5-4.el9.x86_64
basesystem|0:11-13.el9.noarch
bash|0:5.1.8-9.el9.x86_64
bzip2-libs|0:1.0.8-10.el9_5.x86_64
c-ares|0:1.19.1-2.el9_4.x86_64
ca-certificates|0:2025.2.80_v9.0.305-91.el9.noarch
checkpolicy|0:3.6-1.el9.x86_64
coreutils-common|0:8.32-39.el9.x86_64
coreutils|0:8.32-39.el9.x86_64
cracklib-dicts|0:2.9.6-27.el9.x86_64
cracklib|0:2.9.6-27.el9.x86_64
crypto-policies|0:20250128-1.git5269e22.el9.noarch
curl|0:7.76.1-31.el9_6.1.x86_64
cyrus-sasl-lib|0:2.1.27-21.el9.x86_64
dbus-broker|0:28-7.el9.x86_64
dbus-common|1:1.12.20-8.el9.noarch
dbus-libs|1:1.12.20-8.el9.x86_64
dbus|1:1.12.20-8.el9.x86_64
dejavu-sans-fonts|0:2.37-18.el9.noarch
diffutils|0:3.7-12.el9.x86_64
expat|0:2.5.0-5.el9_6.x86_64
filesystem|0:3.16-5.el9.x86_64
findutils|1:4.8.0-7.el9.x86_64
firewalld-filesystem|0:1.3.4-15.el9_6.noarch
firewalld|0:1.3.4-15.el9_6.noarch
fontconfig|0:2.14.0-2.el9_1.x86_64
fonts-filesystem|1:2.0.5-7.el9.1.noarch
fping|0:5.1-1.el9.x86_64
freetype|0:2.10.4-10.el9_5.x86_64
gawk|0:5.1.0-6.el9.x86_64
gdbm-libs|1:1.23-1.el9.x86_64
gd|0:2.3.2-3.el9.x86_64
git-core|0:2.47.3-1.el9_6.x86_64
glib2|0:2.68.4-16.el9_6.3.x86_64
glibc-common|0:2.34-168.el9_6.24.x86_64
glibc-minimal-langpack|0:2.34-168.el9_6.24.x86_64
glibc|0:2.34-168.el9_6.24.x86_64
gmp|1:6.2.0-13.el9.x86_64
gnutls|0:3.8.3-6.el9_6.2.x86_64
gobject-introspection|0:1.68.0-11.el9.x86_64
gpg-pubkey|0:08efa7dd-66842f49.(none)
gpg-pubkey|0:5a6340b3-6229229e.(none)
gpg-pubkey|0:b5333005-66308c87.(none)
gpg-pubkey|0:fd431d51-4ae0493b.(none)
graphite2|0:1.3.14-9.el9.x86_64
grep|0:3.6-5.el9.x86_64
groff-base|0:1.22.4-10.el9.x86_64
gzip|0:1.12-1.el9.x86_64
harfbuzz|0:2.7.4-10.el9.x86_64
httpd-filesystem|0:2.4.62-4.el9_6.4.noarch
ipset-libs|0:7.11-11.el9_5.x86_64
ipset|0:7.11-11.el9_5.x86_64
iptables-libs|0:1.8.10-11.el9_5.x86_64
iptables-nft|0:1.8.10-11.el9_5.x86_64
jansson|0:2.14-1.el9.x86_64
jbigkit-libs|0:2.1-23.el9.x86_64
keyutils-libs|0:1.6.3-1.el9.x86_64
kmod-libs|0:28-10.el9.x86_64
krb5-libs|0:1.21.1-8.el9_6.x86_64
langpacks-core-font-en|0:3.0-16.el9.noarch
less|0:590-5.el9.x86_64
libX11-common|0:1.7.0-11.el9.noarch
libX11|0:1.7.0-11.el9.x86_64
libXau|0:1.0.9-8.el9.x86_64
libXpm|0:3.5.13-10.el9.x86_64
libacl|0:2.3.1-4.el9.x86_64
libarchive|0:3.5.3-6.el9_6.x86_64
libattr|0:2.5.1-3.el9.x86_64
libblkid|0:2.37.4-21.el9.x86_64
libbrotli|0:1.0.9-7.el9_5.x86_64
libcap-ng|0:0.8.2-7.el9.x86_64
libcap|0:2.48-9.el9_2.x86_64
libcbor|0:0.7.0-5.el9.x86_64
libcom_err|0:1.46.5-7.el9.x86_64
libcurl|0:7.76.1-31.el9_6.1.x86_64
libdb|0:5.3.28-57.el9_6.x86_64
libeconf|0:0.4.1-4.el9.x86_64
libedit|0:3.1-38.20210216cvs.el9.x86_64
libevent|0:2.1.12-8.el9_4.x86_64
libfdisk|0:2.37.4-21.el9.x86_64
libffi|0:3.4.2-8.el9.x86_64
libfido2|0:1.13.0-2.el9.x86_64
libgcc|0:11.5.0-5.el9_5.x86_64
libgcrypt|0:1.10.0-11.el9.x86_64
libgpg-error|0:1.42-5.el9.x86_64
libicu|0:67.1-10.el9_6.x86_64
libidn2|0:2.3.0-7.el9.x86_64
libjpeg-turbo|0:2.0.90-7.el9.x86_64
libmnl|0:1.0.4-16.el9_4.x86_64
libmount|0:2.37.4-21.el9.x86_64
libnetfilter_conntrack|0:1.0.9-1.el9.x86_64
libnfnetlink|0:1.0.1-23.el9_5.x86_64
libnftnl|0:1.2.6-4.el9_4.x86_64
libnghttp2|0:1.43.0-6.el9.x86_64
libnsl2|0:2.0.0-1.el9.x86_64
libpng|2:1.6.37-12.el9.x86_64
libpq|0:13.20-1.el9_5.x86_64
libpsl|0:0.21.1-5.el9.x86_64
libpwquality|0:1.4.4-8.el9.x86_64
libseccomp|0:2.5.2-2.el9.x86_64
libselinux-utils|0:3.6-3.el9.x86_64
libselinux|0:3.6-3.el9.x86_64
libsemanage|0:3.6-5.el9_6.x86_64
libsepol|0:3.6-2.el9.x86_64
libsigsegv|0:2.13-4.el9.x86_64
libsmartcols|0:2.37.4-21.el9.x86_64
libssh-config|0:0.10.4-15.el9_6.noarch
libssh|0:0.10.4-15.el9_6.x86_64
libstdc++|0:11.5.0-5.el9_5.x86_64
libtasn1|0:4.16.0-9.el9.x86_64
libtiff|0:4.4.0-13.el9_6.2.x86_64
libtirpc|0:1.3.3-9.el9.x86_64
libtool-ltdl|0:2.4.6-46.el9.x86_64
libunistring|0:0.9.10-15.el9.x86_64
libutempter|0:1.2.1-6.el9.x86_64
libuuid|0:2.37.4-21.el9.x86_64
libverto|0:0.3.2-3.el9.x86_64
libwebp|0:1.2.0-8.el9_3.x86_64
libxcb|0:1.13.1-9.el9.x86_64
libxcrypt|0:4.4.18-3.el9.x86_64
libxml2|0:2.9.13-12.el9_6.x86_64
libxslt|0:1.1.34-13.el9_6.x86_64
libyaml|0:0.2.5-7.el9.x86_64
libzstd|0:1.5.5-1.el9.x86_64
logrotate|0:3.18.0-9.el9.x86_64
lua-libs|0:5.4.4-4.el9.x86_64
lz4-libs|0:1.9.3-5.el9.x86_64
mpdecimal|0:2.5.1-3.el9.x86_64
mpfr|0:4.1.0-7.el9.x86_64
ncurses-base|0:6.2-10.20210508.el9_6.2.noarch
ncurses-libs|0:6.2-10.20210508.el9_6.2.x86_64
ncurses|0:6.2-10.20210508.el9_6.2.x86_64
net-snmp-libs|1:5.9.1-17.el9.x86_64
nettle|0:3.10.1-1.el9.x86_64
nftables|1:1.0.9-4.el9_6.x86_64
nginx-core|1:1.24.0-4.module+el9.5.0+22954+e2d70a1c.1.x86_64
nginx-filesystem|1:1.24.0-4.module+el9.5.0+22954+e2d70a1c.1.noarch
nginx|1:1.24.0-4.module+el9.5.0+22954+e2d70a1c.1.x86_64
oniguruma|0:6.9.6-1.el9.6.x86_64
openldap|0:2.6.8-4.el9.x86_64
openssh-clients|0:8.7p1-45.el9.x86_64
openssh|0:8.7p1-45.el9.x86_64
openssl-fips-provider-so|0:3.0.7-6.el9_5.x86_64
openssl-fips-provider|0:3.0.7-6.el9_5.x86_64
openssl-libs|1:3.2.2-6.el9_5.1.x86_64
openssl|1:3.2.2-6.el9_5.1.x86_64
p11-kit-trust|0:0.25.3-3.el9_5.x86_64
p11-kit|0:0.25.3-3.el9_5.x86_64
pam|0:1.5.1-26.el9_6.x86_64
pcre2-syntax|0:10.40-6.el9.noarch
pcre2|0:10.40-6.el9.x86_64
pcre|0:8.44-4.el9.x86_64
perl-AutoLoader|0:5.74-481.1.el9_6.noarch
perl-B|0:1.80-481.1.el9_6.x86_64
perl-Carp|0:1.50-460.el9.noarch
perl-Class-Struct|0:0.66-481.1.el9_6.noarch
perl-Data-Dumper|0:2.174-462.el9.x86_64
perl-Digest-MD5|0:2.58-4.el9.x86_64
perl-Digest|0:1.19-4.el9.noarch
perl-Encode|4:3.08-462.el9.x86_64
perl-Errno|0:1.30-481.1.el9_6.x86_64
perl-Exporter|0:5.74-461.el9.noarch
perl-Fcntl|0:1.13-481.1.el9_6.x86_64
perl-File-Basename|0:2.85-481.1.el9_6.noarch
perl-File-Path|0:2.18-4.el9.noarch
perl-File-Temp|1:0.231.100-4.el9.noarch
perl-File-stat|0:1.09-481.1.el9_6.noarch
perl-FileHandle|0:2.03-481.1.el9_6.noarch
perl-Getopt-Long|1:2.52-4.el9.noarch
perl-Getopt-Std|0:1.12-481.1.el9_6.noarch
